day,temperature_high,temperature_low,weather,wind_direction,wind_level
2017-05-01,32,25,多云,东南风,5
2017-05-02,34,25,多云,西南风,2
2017-05-03,36,26,多云,东南风,5
2017-05-04,32,25,大到暴雨,东北风,4
2017-05-05,30,24,雷阵雨,东风,2
2017-05-06,31,24,雷阵雨,东南风,3
2017-05-07,31,24,雷阵雨,东南风,3
2017-05-08,33,24,雷阵雨,东南风,6
2017-05-09,31,25,雷阵雨,东北风,3
2017-05-10,32,25,雷阵雨,东南风,2
2017-05-11,32,25,多云,东南风,4
2017-05-12,32,25,雷阵雨,东北风,4
2017-05-13,29,25,雷阵雨,北风,2
2017-05-14,31,25,雷阵雨,南风,3
2017-05-15,32,24,雷阵雨,南风,3
2017-05-16,28,24,雷阵雨,东风,3
2017-05-17,30,24,多云,东北风,5
2017-05-18,30,24,多云,东风,5
2017-05-19,29,24,雷阵雨,东风,4
2017-05-20,30,24,大雨,东风,5
2017-05-21,30,25,雷阵雨,东北风,3
2017-05-22,32,25,雷阵雨,东风,3
2017-05-23,34,27,多云,东南风,4
2017-05-24,32,25,大雨,东北风,4
2017-05-25,28,25,大雨,东北风,4
2017-05-26,28,24,多云,北风,3
2017-05-27,28,25,阵雨,东风,4
2017-05-28,30,25,多云,东风,4
2017-05-29,30,25,多云,东风,5
2017-05-30,31,26,阵雨,东风,3
2017-05-31,33,26,雷阵雨,东南风,3
